Name,URL,Organisation,Description,Location,Latitude,Longitude
Netherlands Public Data Catalogue,http://data.overheid.nl,Bzk/wm/koop (government Ict Office),Overheid.nl is the central access point to all information about / from government organisations of the Netherlands. Data.overheid.nl (launched 2011) is the central register for all government data sets.,"52.5,5.75",52.5,5.75
Lleida Open Data,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,,Lleida Open Data Catalog,"41.6166667,0.6166667",41.6166667,0.6166667
Parisdata,http://opendata.paris.fr/,,"City of Paris Public Data Initiative.

Contact: via <http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?page=contact>.","48.85341,2.3488",48.85341,2.3488
Parisdata,http://opendata.paris.fr,Mairie De Paris,France's capital Paris OpenData store,"48.85341,2.3488",48.85341,2.3488
Pavia Geodata,http://www.comune.pv.it/site/home/dai-settori-e-servizi/servizio-informatico-comunale/s.i.t.-sistema-informativo-territoriale/download-dati-geografici.html,Comune Di Pavia,geodata Pavia city,"45.184464,9.161452",45.184464,9.161452
Kent County Catalog,http://picandmix.org.uk/categories/,Supported By Kent County Council (kcc) In Collaboration With Applied Trends,"Pic and Mix aims to increase public access to Kent-related datasets including those generated by Kent County Council (KCC), UK","51.1666667,0.6666667",51.1666667,0.6666667
Dati.piemonte.it,http://www.dati.piemonte.it,Piemonte Regional Government,"Open data portal for Piemonte region in Italy.

Contact: via <http://www.dati.piemonte.it/contattaci/3.html>.","45,8",45,8
Portal De Datos Abiertos De Jccm,http://opendata.jccm.es/,Junta De Comunidades De Castilla-la Mancha,Open data portal of the Spanish autonomous community Castilla-La Mancha.,"39.5,-3",39.5,-3
Despesa Pública Portugal,http://www.despesapublica.com/,,"Public Expenditure arises from the need to provide an accessible, organized, detailed and flexible enough information on how, where or by whom is spending taxpayers' money. All citizens have the right to access to this information, that can assist in controlling public expenditure, commenting, questioning, promoting and overseeing the spending of public institutions.

The state spends thousands of dollars on new technology platforms that enhance and facilitate the collection of revenue, however, regarding the provision of information on public institutions, their assets and expenditure, there is little information that is dispersed , poorly organized and difficult to access.

Transparency and easy access to information is the first instrument in fighting corruption, so do not understand why there is so much reluctance in most public institutions in providing this information.

It is intended that this project is a platform informative and useful to society. Not wanting to be sensationalist, or party, it is expected that citizens and different stakeholders see it as a support for growth of the country, citizen participation and fair competition in the supply of goods / services to the public sector.

The collection of this information is not always a simple process, and sometimes this is not 100% correct, so it's up to all of us proceed to its validation and require the institutions to provide increasingly, information and more accurate.

At this point is to collect through the site settings Direct base.gov.pt and enterprise data through the site publicações.mj.pt . Advantage has been taken to treat and store the information collected in a structured way, to be able to cross data from different sources. At present we can see, for example, adjustments were made ​​directly to the companies newly established . This functionality can be seen that some results are obtained very curious and dubious.
","39.5,-8",39.5,-8
"Prince George, British Columbia",http://princegeorge.ca/cityservices/online/odc/pages/documents.aspx,City Of Prince George,Adapted the [Vancouver license](http://princegeorge.ca/cityservices/online/odc/Pages/Terms.aspx) (roughly).,"53.916603153,-122.753014555",53.916603153,-122.753014555
Rome Province Data Portal,http://www.opendata.provincia.roma.it/,Province Of Rome,"CKAN based portal for the Province of Rome, Italy","41.8947384617,12.4839019775",41.8947384617,12.4839019775
Dados.gov.pt,http://www.dados.gov.pt/,"Ama, Portuguese Government",The Portuguese national data portal. Launched 24-11-2011 in beta.,"39.5,-8",39.5,-8
Publicdata.eu,http://publicdata.eu/,Open Knowledge Foundation,"PublicData.eu federates metadata from local, regional and national data catalogues from across Europe.

Further details are available here: http://publicdata.eu/about","48.6909603909,9.140625",48.6909603909,9.140625
Québec,http://data.gouv.qc.ca/,Province De Québec,You may [send feedback](http://data.gouv.qc.ca/?node=/nous-joindre) and [request datasets](http://data.gouv.qc.ca/?node=/demande-donnees) via webform. Uses its [own license](http://data.gouv.qc.ca/?node=/licence).,"46.8122791164,-71.2145376205",46.8122791164,-71.2145376205
"Québec, Québec",http://donnees.ville.quebec.qc.ca/,Ville De Québec,You may send feedback via [email](Application.DonneesOuvertes@Ville.quebec.qc.ca) or [webform](http://donnees.ville.quebec.qc.ca/nousjoindre.aspx). Uses its [own license](http://donnees.ville.quebec.qc.ca/licence.aspx).,"46.8122791164,-71.2145376205",46.8122791164,-71.2145376205
Recovery.gov,http://www.recovery.gov/,"All The Data On The Site Comes From Two Sources:    • Federal Agencies Submit Weekly Financial Reports That Can Be Found In The Agency Reported Section Of The Site.   • The Recipient Data Displayed On The Site Is Pulled Directly From The Reports Submitted By The Recipients Themselves At  Federalreporting.gov, Also Managed By The Board.","Recovery.gov is the U.S. government's official website that provides easy access to data related to Recovery Act spending and allows for the reporting of potential fraud, waste, and abuse.","39.76,-98.5",39.76,-98.5
"Red Deer, Alberta",http://data.reddeer.ca/,City Of Red Deer,"You may send feedback to [data@reddeer.ca](mailto:data@reddeer.ca) or [opendata@reddeer.ca](opendata@reddeer.ca). Uses its [own license](http://www.reddeer.ca/City+Government/City+Services+and+Departments/Information+Technology+Services/Open+Data/Terms.htm), similar to that of Saskatoon.","52.266817127,-113.80199658",52.266817127,-113.80199658
Redbridge Datashare,http://data.redbridge.gov.uk/,London Borough Of Redbridge,Official open data site from the London Borough of Redbridge.,"51.5666667,0.0833333",51.5666667,0.0833333
"Regina, Saskatchewan",http://www.regina.ca/residents/open-government/data/,City Of Regina,You may send [feedback](opengov@regina.ca) and [request datasets](http://openregina1.cloudapp.net/Request/Index/).,"50.45008005,-104.61779794",50.45008005,-104.61779794
"Region Of Peel, Ontario",http://opendata.peelregion.ca/,Region Of Peel,You may send feedback and request datasets via [email](mailto:open.data@peelregion.ca) or [webform](http://opendata.peelregion.ca/feedback.aspx). The [license](http://opendata.peelregion.ca/terms-of-use.aspx) is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives.,"43.716667,-80.15",43.716667,-80.15
"Region Of Waterloo, Ontario",http://www.regionofwaterloo.ca/opendata,Region Of Waterloo,You may subscribe to [dataset updates](http://www.regionofwaterloo.ca/en/Open_Data-rss-channel.xml) and send feedback and request datasets via [email](mailto:opendata@regionofwaterloo.ca). The [license](http://www.regionofwaterloo.ca/en/regionalGovernment/OpenDataLicence.asp) is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives.,"43.466795567,-80.516389802",43.466795567,-80.516389802
Rennes Métropole En Accès Libre,http://www.data.rennes-metropole.fr,Rennes Métropole,France's city of Renne's Area OpenData store,"48.111981,-1.674291",48.111981,-1.674291
Research Data Australia,http://researchdata.ands.org.au/,Australian National Data Service,Research Data Australia is a discovery service for Australian research data.,,,
Rhode Island,http://www.ri.gov/data,State Of Rhode Island,RI.gov provides open data sets available to the general public,"41.700101,-71.4161671",41.700101,-71.4161671
La Rochelle,http://www.opendata.larochelle.fr/,City Of La Rochelle,City data portal of La Rochelle. Launched 23 May 2012.,"46.1666667,-1.15",46.1666667,-1.15
Rotterdam Open Data Store,http://www.rotterdamopendata.nl/,Rotterdam Open Data,"Open Data from the city of Rotterdam, Netherlands. A project of the University of Rotterdam, the city of Rotterdam, and local companies. 

Rotterdam Open Data is built using the CKAN data catalogue as a back-end to Liferay CMS. The CKAN catalogue can be accessed directly at http://data.rotterdamopendata.nl/.","51.9225,4.479167",51.9225,4.479167
"Saanich, Bc",http://www.saanich.ca/data/catalogue/index.php,District Of Saanich,You may send feedback via [email](mailto:opendata@saanich.ca). Uses its [own license](http://www.saanich.ca/data/licence.html).,"48.549638795,-123.369314466",48.549638795,-123.369314466
Salford Open Data,http://www.salford.gov.uk/opendata.htm,Salford City Council,City Council's data,"53.487707,-2.29042",53.487707,-2.29042
San Diego Apps Challenge Data,http://sdappschallenge.com/details/data,,A list of datasets made available by the City of San Diego and other partner organisations for the San Diego Apps Challenge in Feb 2012.,"32.7153292,-117.1572551",32.7153292,-117.1572551
City Of Santa Cruz Open Data,http://data.cityofsantacruz.com/,City Of Santa Cruz,"Open Data published by the City of Santa Cruz, California, USA.","36.9741171,-122.0307963",36.9741171,-122.0307963
Opendata71,http://www.opendata71.fr/,Conseil Général De La Saône-et-loire,France's department of Saône-et-Loire's OpenData store,"46.6666667,4.5",46.6666667,4.5
Sardinia Geoportal,http://www.sardegnageoportale.it/index.html,Regione Sardegna,geodata from Sardegna,"40,9",40,9
"Saskatoon, Saskatchewan",http://www.saskatoon.ca/departments/corporate%20services/corporate%20information%20services/opendata/pages/opendata.aspx,City Of Saskatoon,"You may [send feedback](http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/OpenData.aspx) via webform. Uses its [own license](http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/TermsofService.aspx), similar to that of Red Deer.","52.116786331,-106.634521548",52.116786331,-106.634521548
Semantic Interoperability Centre Europe (semic.eu) Catalog,http://www.semic.eu/semic/view/snav/assetrepository.xhtml,,SEMIC.EU is a participatory platform and a service by the European Commission that supports the sharing of assets of interoperability to be used in public administration and eGovernment,"48.6909603909,9.140625",48.6909603909,9.140625
Seoul Open Data,http://data.seoul.go.kr,City Of Seoul,"Official data portal for the city of Seoul, Korea.",,,
Singapore Opendata,http://data.gov.sg/,Government Of Singapore,"Catalog for the Singapore OpenData Discovering data, inspiring ideas","1.3666667,103.8",1.3666667,103.8
Slovak Republic National Data Portal,http://data.gov.sk/,Government Of The Slovak Republic,"A CKAN based portal, started in April 2012. At launch with 19 closed data sets.","48.6666667,19.5",48.6666667,19.5
Open Data South Africa,http://data.codingfordemocracy.org/,Open Data & Democracy Initiative (odadi),A community portal for Open Data in South Africa.,"-29,24",-29,24
Spain Government Data Portal,http://datos.gob.es,Government Of Spain,Spanish national government data portal.,"40,-4",40,-4
Statcentral.ie,http://www.statcentral.ie/,Central Statistics Office Ireland,"The StatCentral portal provides standard documentation on recurring official statistics and links to where they can be found. It covers data produced by the Irish Central Statistics Office (CSO), as well as other government departments, agencies and other state bodies.","53,-8",53,-8
Illinois,http://data.illinois.gov/,State Of Illinois,Open Data Portal for the State of Illinois,"40.0003204,-89.2503681",40.0003204,-89.2503681
Nebraska,http://www.nebraska.gov/data/,State Of Nebraska,State of Nebraska Open Data Catalog,"41.5002828,-99.7506736",41.5002828,-99.7506736
Washington,http://data.wa.gov/,State Of Washington,Public Open Data of the State of Washington,"38.8951118,-77.0363658",38.8951118,-77.0363658
Laatua Verkkoon (finland) Catalog,http://data.suomi.fi,,Link list (and placeholder for future catalog) to Finnish data resources. Launched 2009,"64,26",64,26
"Surrey, British Columbia",http://www.surrey.ca/city-services/658.aspx,City Of Surrey,Uses the PDDL license.,"49.1063541539,-122.825088501",49.1063541539,-122.825088501
Sutton Open Data,http://www.sutton.gov.uk,,London Borough of Sutton Open Data Catalog,"51.35,-0.2",51.35,-0.2
Texas,http://www.texas.gov/en/connect/pages/open-data.aspx,State Of Texas,State of Texas Open Data Catalog,"31.2504424,-99.2506061",31.2504424,-99.2506061
Texas Transparency,http://www.texastransparency.org/opendata/index.php,Texas Comptroller Of Public Accounts,"The Open Data Center is a new service offered as part of the Comptroller's transparency initiative. It is designed to provide direct access to machine-readable, platform-independent raw datasets, as well as other important data tools created by Texas CPA.
New datasets and data tools will continue to be added as this section expands. Your feedback is welcome and encouraged. Let us know how you have used this data and what other types of data and data formats you would like to see.","31.2504424,-99.2506061",31.2504424,-99.2506061
Thailand Opendata,http://data.pm.go.th/,Thai Prime Minister's Office,Catalog of the public data of Thailand,,,
The Data Hub,http://thedatahub.org/,Open Knowledge Foundation,"An openly editable registry for open data (and a few closed ones).

CKAN makes it easy to find, share and reuse open content and data, especially in ways that are machine automatable.

Includes more than 3000 datasets, including the metadata of all the Linked Open Data used to draw the [LOD Cloud](http://lod-cloud.net/)

A flagship install of the [CKAN software](http://ckan.org/).

The original community catalogue, running since 2007. 

Previously known as ckan.net. 

Maintainers: Rufus Pollock, Friedrich Lindenberg, Richard Cyganiak, David Read",,,
Tirol Data Portal,http://data.tirol.gv.at,Landesregierung Tirol,"Launched April 2012, with 13 datasets on environment and tourism.","47.25,11.3333333",47.25,11.3333333
"Township Of Langley, British Columbia",http://www.tol.ca/servicescontact/opendata/opendatacatalogue.aspx,Township Of Langley,You may send [feedback](http://www.tol.ca/ServicesContact/OpenData/OpenDataFeedback.aspx). Uses the PDDL license.,"49.082969808,-122.585894007",49.082969808,-122.585894007
Torino - Aperto,http://www.comune.torino.it/aperto,City Of Turin,"Open data portal for the city of Turin (Torino), Italy.","45.0704898496,7.68682479858",45.0704898496,7.68682479858
"Toronto, Ontario",http://www.toronto.ca/open,City Of Toronto,You may send [feedback](mailto:opendata@toronto.ca) and [request datasets](http://www.datato.org/app/). The current license is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives. The previous license adapted the [Vancouver license](http://www1.toronto.ca/wps/portal/open_data/open_data_fact_sheet_details?vgnextoid=59986aa8cc819210VgnVCM10000067d60f89RCRD). See the [FAQ](http://www1.toronto.ca/wps/portal/open_data/open_data_fact_sheet_details?vgnextoid=cca1eaaa805c9210VgnVCM10000067d60f89RCRD).,"43.700113788,-79.416304194",43.700113788,-79.416304194
Open Data Regione Toscana,http://dati.toscana.it/,Regione Toscana,"Official Open Data portal for the region of Toscana (Tuscany), Italy.","43.4166667,11",43.4166667,11
Grand Toulouse Data,http://data.grandtoulouse.fr/,Communauté Urbaine Du Grand Toulouse,France's city of Toulouse's Area OpenData store,"43.6042618681,1.44367218018",43.6042618681,1.44367218018
Trafford Open Data,http://www.trafford.gov.uk/opendata,,Borough of Trafford (UK) Open Data Catalog,"53.4166667,-2.3333333",53.4166667,-2.3333333
Uae Open Data,http://www.government.ae/web/guest/uae-data,United Arab Emirates Government,"The UAE Government has adopted the Open Data practice to make government data and information seamlessly available to people. Under the Open Data, information is made usable, reusable and accessible to the public.","24,54",24,54
Open Un-habitat Transparency Initiative,http://open.unhabitat.org/,Un-habitat,"Project and programme data from UN-HABITAT, the United Nations Human Settlements Programme.",,,
United Nations (undata) Catalog,http://www.undata-api.org/wiki/datasets,,UNdata is a data access system to UN databases,,,
University Of Oxford,http://data.ox.ac.uk/,University Of Oxford,The site aims to collect data from around the University and make it available for reuse as linked data under open licenses.,"51.7522210026,-1.25596046448",51.7522210026,-1.25596046448
University Of Southampton Open Data,http://data.southampton.ac.uk/home.html,University Of Southampton,"The University of Southampton provides open access to some of our administrative data.

We believe that this will be of benefit to our own members and visitors, and increase the transparency of our operations.","50.9039464904,-1.40428205531",50.9039464904,-1.40428205531
Us Dol Enforcement Data,http://enforcedata.dol.gov,Us Dol,"The US Department of Labor's Enforcement Data site aims to make administrative data, collected by the agencies, accessible in machine readable formats, and searchable.","39.76,-98.5",39.76,-98.5
Usaspending.gov,http://usaspending.gov/,Us Government,"The Federal Funding Accountability and Transparency Act (FFATA) of 2006, full text of the Transparency Act ( ), requires that the Office of Management and Budget (OMB) establish a single searchable website, accessible to the public at no cost, which includes for each Federal award:

the name of the entity receiving the award;
the amount of the award;
information on the award including transaction type, funding agency, etc;
the location of the entity receiving the award; and
a unique identifier of the entity receiving the award.
USAspending.gov was first launched in December 2007 to fulfill these requirements. Prime award information shown on the website is provided by Federal Agencies through four main source systems (see Sources of Data). USAspending.gov receives and displays data pertaining to obligations (amounts awarded for federally sponsored projects during a given budget period), not outlays or expenditures (actual cash disbursements made against each project). Read the latest OMB-issued memoranda M-09-19, ""Guidance on Data Submission under the Federal Funding Accountability and Transparency Act"" ( ) as it provides guidance to agencies on how to report information to USAspending.gov.

USAspending.gov has been recently updated in October 2010 to display of first-tier sub-award data (subcontracts and subgrants). Sub-award information shown on the website is provided by FSRS (see Sources of Data). The latest guidance documents pertaining to sub-award reporting can be found under News.","39.76,-98.5",39.76,-98.5
Utah,http://www.utah.gov/data/,State Of Utah,"Access raw State data files, databases, geographic data, and other data sources from the State of Utah Catalog","40.2968979,-111.6946475",40.2968979,-111.6946475
"Vancouver, British Columbia",http://data.vancouver.ca/datacatalogue/index.htm,City Of Vancouver,You may send [feedback](http://data.vancouver.ca/feedback/) and subscribe to [dataset updates](http://data.vancouver.ca/updates.htm). Uses the [Vancouver license](http://data.vancouver.ca/termsOfUse.htm).,"49.249657393,-123.119340403",49.249657393,-123.119340403
Open Data Ville De Bordeaux,http://opendata.bordeaux.fr/,Ville De Bordeaux,"Open Data portal of the City of Bordeaux, France",,,
"Montréal, Québec",http://donnees.ville.montreal.qc.ca/,Ville De Montréal,Adapted the [CC BY-SA](http://donnees.ville.montreal.qc.ca/licence) license.,"45.5088375,-73.587809",45.5088375,-73.587809
Virginia Auditor Of Public Accounts Commonwealth Data Point,http://datapoint.apa.virginia.gov/,State Of Virginia,Virginia Datapoint Open Data,"36.8529263,-75.977985",36.8529263,-75.977985
Warwickshire Open Data,http://opendata.warwickshire.gov.uk/datasets/,,County of Warwickshire (UK) Open Data Catalog,"52.3333333,-1.5833333",52.3333333,-1.5833333
"Winnipeg, Manitoba 2010 Election",http://winnipegelection.ca/open_data_2010,,Citizen-created shapefiles and election results.,"49.884398624,-97.147044715",49.884398624,-97.147044715
The World Bank Catalog,http://developer.worldbank.org,,"The World Bank's first API offers 114 indicators from key data sources and 12,000 development photos.",,,
Wyre Council Open Data,http://www.wyre.gov.uk/opendata,Wyre Council,Official council data,"53.9252671848,-3.01085472107",53.9252671848,-3.01085472107
Zaragoza Public Data Catalogue,http://datos.zaragoza.es,,Zaragoza Public Data Catalogue,"41.6560643303,-0.877339839935",41.6560643303,-0.877339839935
United Nations Data Mart,http://data.un.org/datamartinfo.aspx,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Un Databases,http://un.org/en/databases/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
The World Bank For Developers,http://developer.worldbank.org,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Unesco Institute For Statistics,http://uis.unesco.org,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Statistics Division,http://unstats.un.org,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Unesco Atlas Of The World's Languages In Danger,http://unesco.org/culture/languages-atlas/index.php,United Nations,,"40.7490,73.9680",40.7490,73.9680
Department Of Economic And Social Affairs,http://esa.un.org/unpd/wpp/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Un Economic Commission For Africa - African Centre For Statistics,http://uneca.org/acs,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Group Of Experts On Geographical Names,http://unstats.un.org/unsd/geoinfo/ungegn/geonames.html,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Multilingual Terminology Database,http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/$searchform?searchview,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
International Steering Committee For Global Mapping,http://iscgm.org/gmd/,United Nations,,"40.7490,73.9680",40.7490,73.9680
United Nations Spatial Data Infrastructure - Netherlands Coordination Office,http://geomatics.nlr.nl/unsdi/srv,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Undp Country Climate Data Profiles,http://undp.org/content/undp/en/home/librarypage/environment-energy/climate_change/adaptation/undp_climate_changecountryprofiles.html,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
World Health Organization,http://who.int/research/en/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Who Denguenet,http://apps.who.int/globalatlas/dataquery,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Aids,http://unaids.org/en/dataanalysis/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Food & Agriculture Organization,http://faostat.fao.org/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Unicef,http://unicef.org/statistics/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Organisation For Economic Co-operation And Development,http://www.oecd.org/statistics/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Organization Of Economic Cooperation And Development,http://stats.oecd.org/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
The World Bank,http://data.worldbank.org/,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Development Programme,http://open.undp.org,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
United Nations Environment Programme,http://geodata.grid.unep.ch,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
Unesco/international Oceanographic Data And Information Exchange - Ocean Data Portal,http://oceandataportal.net/portal,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
World Bank - Actionable Governance Indicators,http://agidata.org,United Nations,,"40.7490,-73.9680",40.7490,-73.9680
European Open Data,http://open-data.europa.eu/en/data/,European Union,,"50.8500,4.3500",50.8500,4.3500
Engage European Open Data,http://www.engagedata.eu/opendatasites,European Union,,"50.8500,4.3500",50.8500,4.3500
Semantic Interoperability Centre Europe,http://semic.eu/semic/view/snav/assetrepository.xhtml,European Union,,"50.8500,4.3500",50.8500,4.3500
European University Institute: Eu Open Data Portal,http://eui.eu/research/library/researchguides/economics/statistics/dataportal/euopendataportal.aspx,European Union,,"50.8500,4.3500",50.8500,4.3500
European Commission Eurostat,http://epp.eurostat.ec.europa.eu/portal/page/portal/statistics/themes,European Union,,"50.8500,4.3500",50.8500,4.3500
European Climate Assessment & Dataset,http://eca.knmi.nl/,European Union,,"50.8500,4.3500",50.8500,4.3500
European Central Bank - Statistical Data Warehouse,http://sdw.ecb.europa.eu/,European Union,,",",,
Cern Open Data,http://opendata.cern.ch,European Union,,"46.2342,6.0528",46.2342,6.0528
European Space Agency - Copernicus Space Component Data Access,http://gmesdata.esa.int,European Union,,"50.8500,4.3500",50.8500,4.3500
Ess-eric,http://europeansocialsurvey.org/data/,European Union,,"50.8500,4.3500",50.8500,4.3500
Open Knowledge Foundation Open Data,http://publicdata.eu/,European Union,,"50.8500,4.3500",50.8500,4.3500
Association Of European Geological Societies,http://aegs.it,European Union,,",",,
Aid Data,http://aiddata.org,International Organizations,,"38.8951,-77.0367",38.8951,-77.0367
International Aid Transparency Association,http://iatiregistry.org,International Organizations,,",",,
International Federation Of Associated Wrestling Styles,http://www.fila-official.com/index.php?option=com_content&view=article&id=768&itemid=100236&lang=en,International Organizations,,"46.4667,6.8500",46.4667,6.8500
Education Policy And Data Center,http://epdc.org,International Organizations,,"38.8951,-77.0367",38.8951,-77.0367
Insititure Of International Education,http://iie.org/research-and-publications/open-doors/data,International Organizations,,"40.7127,-74.0059",40.7127,-74.0059
World Meteorological Society,http://wmo.int,International Organizations,,"46.2000,6.1500",46.2000,6.1500
Finclusionlab Microfinance Information Exchange,http://finclusionlab.org,International Organizations,,"38.8951,-77.0367",38.8951,-77.0367
Global Administrative Areas,http://gadm.org,International Organizations,,",",,
International Union Of Geological Scientists,http://iugs.org/,International Organizations,,",",,
Grain,http://grain.org/article/entries/4479-grain-releases-data-set-with-over-400-global-land-grabs#,International Organizations,,"41.3833,2.1833",41.3833,2.1833
Global Open Data For Agriculture And Nutrition (godan),http://godan.info/,International Organizations,,",",,
Mosaic Project,http://censusmosaic.org/web/data,International Organizations,,"54.09389,12.11111",54.09389,12.11111
International Food Policy Research Institute,http://ifpri.org/datasets,International Organizations,,"38.8951,-77.0367",38.8951,-77.0367
Open Energy Information,http://openei.org,International Organizations,,",",,
Bank For International Settlements Statistics,http://bis.org/statistics/,International Organizations,,"47.5667,7.6000",47.5667,7.6000
International Monetary Fund - Data & Statistics,http://imf.org/external/data.htm,International Organizations,,"38.8951,-77.0367",38.8951,-77.0367
Us Government Open Data,http://www.data.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Social Security Administration Open Data,http://www.ssa.gov/open/data/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Millennium Challenge - Open Data Catalog,http://data.mcc.gov/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Census Bureau,http://www.census.gov/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Cia World Factbook,http://www.cia.gov/library/publications/the-world-factbook/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Social Security Agency - Babynames,http://ssa.gov/oact/babynames,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Geological Survey,http://www.usgs.gov/,United States,,"38.8951,-77.0367",38.8951,-77.0367
National Geospatial Intelligence Agency,http://earth-info.nga.mil/gns/html/index.html,United States,,"38.8951,77.0367",38.8951,77.0367
Usgs Geospatial Government Catalog,http://www.geodata.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
National Geographic Survey - State Plane Coordinates,http://ngs.noaa.gov/tools/spc.shtml,United States,,"38.8951,-77.0367",38.8951,-77.0367
Fgdc Geoplatform,http://geoplatform.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Medicare & Medicaid Service,http://www.healthdata.gov/data/dataset/healthcare-finder-api,United States,,"38.8951,-77.0367",38.8951,-77.0367
Medicare Data,http://data.medicare.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Center For Medicare & Medicad Services,http://data.cms.gov/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Health & Human Services,http://healthmeasures.aspe.hhs.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Substance Abuse And Mental Health Service Administration,http://samhsa.gov/data,United States,,"38.8951,-77.0367",38.8951,-77.0367
Open Fda Adverse Drug Events,http://open.fda.gov/drug/event/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Developmental Therapeutics Program (nci/nih),http://dtp.nci.nih.gov/docs/dtp_search.html,United States,,"38.8951,-77.0367",38.8951,-77.0367
Centers For Disease Control And Prevention: Behavorial Risk Factor Surveillance System,http://www.cdc.gov/brfss/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Health Resources And Services Administration,http://datawarehouse.hrsa.gov/data/data.aspx,United States,,"38.8951,-77.0367",38.8951,-77.0367
Cdc Wonder,http://wonder.cdc.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Bureau Of Labor,http://www.bls.gov/data/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Department Of Labor,http://www.msha.gov/opengovernmentdata/ogimsha.asp#jump,United States,,"38.8951,-77.0367",38.8951,-77.0367
Consumer Finance,http://www.consumerfinance.gov/complaintdatabase/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Department Of Labor Enforcement Data,http://enforcedata.dol.gov,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Dol Mine Safety,http://www.msha.gov/opengovernmentdata/ogimsha.asp,United States,,"38.8951,-77.0367",38.8951,-77.0367
Fdic Institution Data Download,http://www2.fdic.gov/idasp/warp_download_all.asp,United States,,"38.8951,-77.0367",38.8951,-77.0367
Bureau Of Economic Analysis,http://bea.gov/itable/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Us Department Of Agriculture Open Data,http://www.usda.gov/wps/portal/usda/usdahome?navid=data,United States,,"38.8951,-77.0367",38.8951,-77.0367
United States Department Of Agriculture: Econonic Research Services,http://www.ers.usda.gov/data-products.aspx,United States,,"38.8951,-77.0367",38.8951,-77.0367
Usda National Nutrient Database,http://ndb.nal.usda.gov/ndb/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Noaa: Science On A Sphere,http://sos.noaa.gov/datasets/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Noaa National Climate Data Center,http://ncdc.noaa.gov/cdo-web/webservices/v2,United States,,"38.8951,-77.0367",38.8951,-77.0367
National Weather Service,http://nws.noaa.gov/gis/,United States,,"38.8951,-77.0367",38.8951,-77.0367
Noaa National Oceangraphic Data Center (nodc) Sea Level,http://www.nodc.noaa.gov/general/sealevel.html,United States,,"38.8951,-77.0367",38.8951,-77.0367
National Center For Education Statistics,http://nces.ed.gov/datatools/,United States,,"38.8951,-77.0367",38.8951,-77.0367
National Highway Traffic Safety Administration: Fatalities Analysis System (fars),http://www-fars.nhtsa.dot.gov/main/,United States,,"38.8951,-77.0367",38.8951,-77.0367
