Name,URL,Organisation,Description,Location,Latitude,Longitude
Iati Registry,http://iatiregistry.org/,Iati,"International Aid Transparency Initiative (IATI).

Open data for international aid. 

Launched Dec 2010","51.2806556542,6.76714897156",51.2806556542,6.76714897156
Data Portal India,http://data.gov.in/,Government Of India,Official data portal for the Government of India.,"20,77",20,77
Katalog Offene Daten Österreich,http://offener.datenkatalog.at/,"Martin Kaltenboeck, Andreas Langegger","Community open data site for Austria.

Also at <http://at.ckan.net/>","47.3333333,13.3333333",47.3333333,13.3333333
"King County, Washington",http://www.datakc.org/,King County,"The King County Open Data Project is an ongoing effort to release high-value, machine readable data sets to the public. The data sets currently available come from many areas of county government. Ongoing efforts to expand the data are in progress. ","47.4664913,-121.8178891",47.4664913,-121.8178891
The Korea Data Hub,http://thedatahub.kr/,,Community-run Korean data portal.,37127.5,37127.5,
Kozadat,http://kozadat.neumannhaz.hu/fooldal/adatforrasok,John Von Neumann Digital Library,Hungarian data catalog from John von Neumann Digital Library from a 2010 pilot project.,"47,20",47,20
La Nacion,http://data.lanacion.com.ar/,La Nacion (argentina),Data publisehed by La Nacion newspaper in Argentina (in Spanish).,"-34,-64",-34,-64
Le Mans Data Catalog,http://www.lemans.fr/page.do?t=2&uuid=16cb26c7-550ea533-5ae8381b-d7a64af8,Le Mans Metropole,"Page in the city's website providing download links of data sets. Launched in February 2012, without budget. Files in CSV, KML, SHP and PDF.","48,0.2",48,0.2
L'open Data Le Mans,http://www.lemans.fr/page.do?t=2&uuid=16cb26c7-550ea533-5ae8381b-d7a64af8,,Public datasets related to the City of Le Mans,"48,0.2",48,0.2
Api Leipzig,http://www.apileipzig.de/,Kreatives Leipzig E.v.,Provides public data from the administration of Leipzig through a unified API. This is not a metadata catalog but a curated API.,"51.33962,12.371292",51.33962,12.371292
Lichfield District Council (uk) Data Catalogue,http://www2.lichfielddc.gov.uk/data/,,Lichfield District Council (UK) Public Data Catalogue,"52.6815384135,-1.82548811393",52.6815384135,-1.82548811393
Linked Clean Energy Data - Data.reegle.info,http://data.reegle.info/,Reeep - Renewable Energy And Energy Efficiency Partnership - Www.reeep.org,"Clean Energy Datasets - free for re-use

Include clean energy datasets including actors, project outcome documents, country policy reports and more than 3000 clean energy terms from our thesaurus into your website or application by using reegle's Linked Open Data facilities. Datasets are published  using the Open Government Data License for public sector information and are therefore free for re-use.
",",,",,
Loire-atlantique Data Portal,http://data.loire-atlantique.fr/,Departement Loire-atlantique,Launched April 2012. LOAD (Loire Atlantique Ouverture des Donnees).,"47.153189,-1.610725",47.153189,-1.610725
"London, Ontario",http://www.london.ca/d.aspx?s=/open_data/data_catalogue.htm,City Of London (ontario),You may send [feedback](mailto:opendata@london.ca). Adapted the [Vancouver license](http://www.london.ca/d.aspx?s=/Open_Data/Open_Data_Terms_Use.htm).,"42.983389283,-81.233042387",42.983389283,-81.233042387
London Datastore,http://data.london.gov.uk,Greater London Authority,"Data on London, UK from the GLA and other public sector bodies.

Contact: e-mail <datastore@london.gov.uk>.","51.5085287759,-0.125741958618",51.5085287759,-0.125741958618
Maine,http://www.maine.gov/cgi-bin/data/index.pl,State Of Maine,Maine.gov DataShare: State of Maine Open Data Catalog (USA),"45.0530236,-89.6820685",45.0530236,-89.6820685
Map Your Taxes - Missouri Accountability Portal,http://mapyourtaxes.mo.gov/map/portal/default.aspx,"Office Of Administration, Missouri","The MAP site is presented to the citizens of Missouri as a single point of reference to review how their money is being spent and other pertinent information related to the enforcement of government programs.  As you browse the MAP site you will be able to view information about state agency expenditures, the distribution of economic development tax credits, state employee pay information, and revenues and expenditures related to the American Recovery and Reinvestment Act of 2009. 

The data on the MAP site is updated each business day. New features are added as they become available. Please visit the site frequently for new information.
","29.6185669,-95.5377215",29.6185669,-95.5377215
Massachusetts,https://wiki.state.ma.us/confluence/display/data/open+data+initiative+home,State Of Massachusetts,An inventory of Massachusetts public data available for download.,"42.2503731,-71.4997856",42.2503731,-71.4997856
Medical Free/libre And Open Source Software,http://www.medfloss.org,Medfloss.org,Medfloss.org provides a comprehensive and structured overview of Free/Libre and Open Source Software (FLOSS) projects in the domains of medical informatics and health care.,",,",,
"Medicine Hat, Alberta",http://data.medicinehat.ca/,City Of Medicine Hat,You may send feedback via [email](opendata@medicinehat.ca) or [Twitter](https://twitter.com/#!/OpenDataMedHat). Adapted the [Vancouver license](http://www.medicinehat.ca/City%20Government/Open%20Data/Terms%20of%20Use.asp). Uses [OGDI](http://data.medicinehat.ca/Developers/Index).,"50.050059602,-110.668342521",50.050059602,-110.668342521
Merton Council,http://www.merton.gov.uk/council/dp-foi/opendata.htm,Merton Council,"Open data is about making non-personal information held by government freely available. We are making a range of our data available online so that we can be more transparent and accountable.
This page lists all the data sets that we publish for public re-use. If you build any systems using the data please let us know so we can list them here.
This data is freely re-usable under the same terms as data.gov.uk: Terms and conditions (Data.gov.uk website)","51.4108,-0.18919",51.4108,-0.18919
Metroboston Datacommon,http://www.metrobostondatacommon.org/,,,"42.3584308,-71.0597732",42.3584308,-71.0597732
Michigan,"http://www.michigan.gov/som/0,1607,7-192-29938_54272---,00.html",State Of Michigan,State of Michigan Data Catalog (USA),"44.2502852,-85.500333",44.2502852,-85.500333
Minnesota,http://www.state.mn.us/data/,State Of Minnesota,"Minnesota Open Data Initiative.  This is not directly a data catalog, but an interface that links to many different data sources, all of which have various degrees of quality and varying formats.","46.2502448,-94.2505535",46.2502448,-94.2505535
"Mississauga, Ontario",http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,City Of Mississauga,You may send feedback via [email](mailto:eplanbuild.info@mississauga.ca). Adapted the [Vancouver license](http://www.mississauga.ca/file/COM/CityOfMississaugaTermsOfUse.pdf).,"43.578898603,-79.6583032608",43.578898603,-79.6583032608
Republic Of Moldova - Open Data Portal,http://data.gov.md,E-government Center,Portal providing access to open government data in Moldova,"47,29",47,29
Montevideo Public Data Catalogue,http://datos.montevideo.gub.uy,Intendencia De Montevideo,Montevideo Data Catalogue,"-34.8652778,-56.1819444",-34.8652778,-56.1819444
Territoire Montpellier Numérique - Données Publiques Ouvertes,http://opendata.montpelliernumerique.fr,Mairie De Montpellier,France's city of Montpellier's Area OpenData store,"43.61092,3.87723",43.61092,3.87723
Morocco Opendata,http://data.gov.ma/,,Les donnees publiques de l'Administration Marocaine,"32,-5",32,-5
Mosman Council Datastore,http://data.mosman.nsw.gov.au/,Mosman Municipal Council,"This DATAstore is both catalogue and repository for public, machine-readable information published by Mosman Council (New South Wales, Australia) for the purposes of building web services with our community.","-32.0142097473,115.766132355",-32.0142097473,115.766132355
"Nanaimo, British Columbia",http://data.nanaimo.ca/,City Of Nanaimo,"Uses [Open Data Publisher](http://opendatapublisher.codeplex.com/), a fork of Microsoft's [OGDI project](http://ogdi.codeplex.com/). The City of Nanaimo is currently investigating options for formal open data licensing. See the [disclaimer](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Licence.html). Offers an [API](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Developers.html).","49.166337382,-123.936012692",49.166337382,-123.936012692
Nantes Ouverture Des Données,http://data.nantes.fr,Mairie De Nantes,France's city of Nantes Area OpenData store,"47.2172508194,-1.55336380005",47.2172508194,-1.55336380005
Istat,http://dati.istat.it/,Istat,"the datawarehouse of the italian statistics produced by Istat, a complete and consistent information assets","42.8333333,12.8333333",42.8333333,12.8333333
Natural Earth,http://www.naturalearthdata.com/,,"Natural Earth is a map dataset available at 1:10m, 1:50m, and 1:110 million scales, featuring tightly integrated vector and raster data. It was built by many volunteers and is supported by the North American Cartographic Information Society (NACIS).",",,",,
Open Data Navarra,http://opendata.navarra.es,,Open Data Catalog of Navarre,"42.75,-1.6666667",42.75,-1.6666667
Nc Openbook,http://www.ncopenbook.gov/ncopenbook/,State Of North Carolina,,"35.5006942,-80.0003243",35.5006942,-80.0003243
Open Data Nederland,http://opendatanederland.org,Oxyva.nl,A community hub for Open Data in the Netherlands.,-4.75138,-4.75138,
"New Orleans, Louisiana",http://data.nola.gov/,City Of New Orleans,data.nola.gov,"29.9546482,-90.075072",29.9546482,-90.075072
"Niagara Region, Ontario",http://www.niagararegion.ca/government/opendata/default.aspx,Regional Municipality Of Niagara,"Open data pilot catalog of the Niagara Region of Ontario, Canada

Uses its own license, the [Regional Municipality of Niagara Open Data Agreement](http://www.niagararegion.ca/government/opendata/terms-of-use.aspx).","43.216815948,-79.116274722",43.216815948,-79.116274722
"Niagara Falls, Ontario",http://www.niagarafalls.ca/services/open/data,City Of Niagara Falls,You may send [feedback](mailto:opendata@niagarafalls.ca). Adapted the [Vancouver license](http://www.niagarafalls.ca/services/open/terms-and-conditions.aspx). See the [FAQ](http://www.niagarafalls.ca/faq/open-data.faq) and [ideas forum](http://ideas.niagarafalls.ca/forums/102745-data-layers).,"43.100116116,-79.066270072",43.100116116,-79.066270072
North Dakota Gis Hub,http://www.nd.gov/gis/,State Of North Dakota,,"47.500274,-100.0006798",47.500274,-100.0006798
"Regional District Of North Okanagan, British Columbia",http://www.rdno.ca/index.php/maps/digital-data,Regional District Of North Okanagan,You may send feedback via [email](gistech@rdno.ca) or [webform](http://www.rdno.ca/index.php/maps/interactive-mapping-application-feedback). Uses its [own restrictive license](http://www.rdno.ca/index.php/maps/digital-data-terms-of-use).,"50.416514678,-118.752318369",50.416514678,-118.752318369
North Devon Council Open Data,http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data.htm,,Catalogue of open data published by North Devon Council,"51.2093031523,-4.11343574524",51.2093031523,-4.11343574524
Nosdonnées.fr,http://www.nosdonnees.fr,Regards Citoyens,"A community driven catalogue for citizen based open data in France, relying on CKAN and operated by [Regards Citoyens](http://www.regardscitoyens.org/).","46,2",46,2
New South Wales State (australia) Open Data Catalog,http://data.nsw.gov.au,,New South Wales State (Australia) Open Data Catalog,-33146,-33146,
New York Senate,http://www.nysenate.gov/opendata,State Of New York,Senate of New York Open Data,"40.7142691,-74.0059729",40.7142691,-74.0059729
"New York, New York",http://nycopendata.socrata.com/,City Of New York,New York City OpenData! A catalog which supplies many sets of public data produced by City agencies,"40.7142691,-74.0059729",40.7142691,-74.0059729
Offenedaten,http://offenedaten.de/,Open Knowledge Foundation Deutschland E.v.,"A community-maintained open data catalog dedicated to Germany.

Maintainers: Friedrich Lindenberg, Daniel Dietrich

Alternative address: <http://de.ckan.net/>

Contact: see <http://okfn.de/about/kontakt/>.","51.5,10.5",51.5,10.5
Missouri,http://www.mo.gov/data/,State Of Missouri,Missouri Data Catalog,"29.6185669,-95.5377215",29.6185669,-95.5377215
Florida,http://www.floridahasarighttoknow.com/,,Florida Has a Right to Know: State of Florida Open government initiative,"28.7505408,-82.5000976",28.7505408,-82.5000976
Oklahoma,http://data.ok.gov/,State Of Oklahoma,Oklahoma's Catalog of public data,"35.4675602,-97.5164276",35.4675602,-97.5164276
Open Colorado,http://data.opencolorado.org/,Colorado Smart Communities,"Community-led collection of State data.

Facilitator: Sean Hudson / Colorado Smart Communities

Runs CKAN with custom theme.","38.8338816,-104.8213634",38.8338816,-104.8213634
Open Data Antwerp,http://opendata.antwerpen.be/datasets,City Of Antwerp,Official open data catalog for the city of Antwerp.,"51.219894816,4.4034576416",51.219894816,4.4034576416
Open Data Firenze,http://dati.comune.firenze.it,Comune Di Firenze,The open data portal of Florence.,"43.7666667,11.25",43.7666667,11.25
Open Data For Africa,http://opendataforafrica.org/,African Development Bank Group,Open data catalogue from African Development Bank Group.,"7.18810087118,21.09375",7.18810087118,21.09375
Open Data Thailand,http://catalog.opendata.in.th/,,"Community-led open data CKAN portal for Thailand.

** Currently dormant **",15100,15100,
Open Kent,http://www.openkent.org.uk,Public Service Organisations In Kent,"Open Kent aims to make open data available on local public services in Kent. Sponsored by our local technology partnership, Kent Connects, we're working across the county with the organisations listed below so that you can access the data in a single place.

Ashford Borough Council, Canterbury City Council, Dover District Council, Gravesham Borough Council, Kent County Council, Kent Fire and Rescue, Maidstone Borough Council, Medway Council, Sevenoaks District Council, Shepway District Council, Swale Borough Council, Thanet District Council, Tonbridge and Malling Borough Council and Tunbridge Wells Borough Council.

","51.1666667,0.6666667",51.1666667,0.6666667
Open Stockholm,http://open.stockholm.se/,Stockholms Stad,"Open data about Stockholm, the Swedish capital.

As of October 2011, not much data seems to be available yet.

22/03/2012: more data released in preparation for an open data hackday http://open.stockholm.se/oppna-data","59.3325765362,18.0649030209",59.3325765362,18.0649030209
Open Umea,http://www.openumea.se/,Umeå Kommun,Open Data from the Municipality of Umea.,"63.8284245148,20.2597224712",63.8284245148,20.2597224712
Open Government Data Saudi,http://www.saudi.gov.sa/wps/portal/!ut/p/c5/04_sb8k8xllm9msszpy8xbz9cp0os3itmgenye8tiwoduesla89qu69g11a_ywmtq6b8jjk8u68jud44ocqwmndd0mdqnbldrhtpdjygrrcbdubishdwap5-oci08psen7wraxmqd0dyenzo55gfm6pfkbsaghpr4zkzkk4iaom0c0u!/dl3/d3/l0lhskovd0rnquprquvnqsehl1lczncvyxi!/?,,Saudi e-Government National Portal,"25,45",25,45
Open Government Data Wien,http://data.wien.gv.at/,City Of Vienna,"Open government data for Vienna, Austria.","48.2084877602,16.3720750809",48.2084877602,16.3720750809
Tennessee,http://www.tn.gov/opengov/,State Of Tennessee,Open Government Tennessee,"35.7503468,-86.250271",35.7503468,-86.250271
New Zealand Open Data Catalogue,http://cat.open.org.nz/category/dataset/,,"Opengovt.org.nz is an open, independent catalogue of Government and Local Body datasets in New Zealand",-42174,-42174,
Openaid.se,http://openaid.se/,Government Of Sweeden,Sweden's aid - openly and in one place,"62,15",62,15
"Baltimore, Maryland",http://data.baltimorecity.gov/,City Of Baltimore,"The goal of OpenBaltimore is to provide, to the public, access to City data in an effort that supports government transparency, openness and innovative uses that will help improve the lives of Baltimore residents, visitors and businesses through use of technology. OpenBaltimore will enable the local developer community to develop applications that will hopefully help the city solve problems.","39.2880770318,-76.6107559204",39.2880770318,-76.6107559204
Opendata.lv,http://opendata.lv/,,"Volunteer-run open data portal for Latvia. Focus on public data.

Associated with Raimonds' data analysis start-up company easyBI (easybi.com) ","57,25",57,25
Enschede Open Data Catalogue,http://opendata.enschede.nl,Gemeente Enschede (municipality Of Enschede),"The open data publishing platform for the city of Enschede. Comes with various data formats.

Built with the Ariadne CMS (php based), on top of PostgresSQL to deliver the data.","52.218333,6.895833",52.218333,6.895833
Kenya Open Data Initiative,http://www.opendata.go.ke,Kenya Open Data Project,"From the website:

> This site makes public government data acessible to the people of Kenya. High quality national census data, government expenditure, parliamentary proceedings and public service locations are just a taste of what's to come. There's something for everyone: maps to start exploring, interactive charts and tables for a deeper understanding, and raw data for technical users to build their own apps and analyses. Our information is a national asset, and it's time it was shared: this data is key to improving transparency; unlocking social and economic value; and building Government 2.0 in Kenya.","1,38",1,38
Opendatabc Data Catalogue,http://www.opendatabc.ca/?app=odcat2,Opendatabc,OpenDataBC presents a crowd-sourced list of datasets made available by various levels of government within the province of British Columbia,"53.999827295,-125.003201924",53.999827295,-125.003201924
Open Data Manchester (uk),http://www.manchester.gov.uk/info/500215/open_data,,Manchester (UK) Open Data Catalog,"53.4809464284,-2.23743438721",53.4809464284,-2.23743438721
Opendatani,http://www.opendatani.info,Department Of Finance And Personnel Of Northern Ireland,"A data catalogue for Northern Ireland. It publishes information and data produced by Northern Ireland government departments, agencies and non-departmental public bodies (NDPBs). The catalogue was launched in 2009 with nine entries and has not been updated since.","54.5,-6.5",54.5,-6.5
Opendataphilly,http://www.opendataphilly.org/,Opendataphilly,"Data on the Philadelphia region. 

OpenDataPhilly is a catalog developed by Azavea, a Philadelphia geospatial firm, in collaboration with the City of Philadelphia Office of Information Technology, WHYY, Technically Philly, NPower, the William Penn Foundation and other partners.","39.952335,-75.163789",39.952335,-75.163789
Opendoor Kentucky,http://opendoor.ky.gov/transparency/pages/default.aspx,,Kentucky's Financial Transparency Portal.,"37.5003439,-85.2502384",37.5003439,-85.2502384
Openei – Open Energy Info,http://en.openei.org/,U.s. National Renewable Energy Laboratory,"An online community dedicated to information and data on energy resources. Provides access to energy-related information via geographic discovery, visualizations, and topic-oriented gateways. The site includes a data catalog of hundreds of energy-related datasets. Developed by the National Renewable Energy Laboratory (NREL) with funding from the U.S. Department of Energy.",",,",,
Opengov.es,http://opengov.es,,"CKAN repository of Spanish open data intiatives

Facilitator: Javier De La Cueva. Contact: see <http://javierdelacueva.es/contacto/>.","40,-4",40,-4
Opengov Sweden Catalog,http://www.opengov.se/data,Peter Krantz,Opengov.se is an initiative to highlight available public datasets in Sweden.,"62,15",62,15
Opengovdata Russia Catalog,http://opengovdata.ru,,OpenGovData.ru is a public data catalog published by the Russian Government,60100,60100,
Openstreetmap,http://www.openstreetmap.org,Openstreetmap Foundation,Wikipedia for geo data,",,",,
Oregon,http://data.oregon.gov/,State Of Oregon,State of Oregon Data Catalog,"44.0001313,-120.5013876",44.0001313,-120.5013876
Amsterdam O+s,http://www.os.amsterdam.nl/,Gemeente Amsterdam,"The Department for Research and Statistics of the City of Amsterdam, Netherlands.","52.3740272046,4.88968849182",52.3740272046,4.88968849182
"Ottawa, Ontario",http://www.ottawa.ca/en/city_hall/statisticsdata/opendata/info/index.htm,City Of Ottawa,"You may send feedback via [email](mailto:opendata@ottawa.ca) or [webform](https://ottawa.ca/cgi-bin/form.cgi?dir=opendata&form=form_en) and [request datasets](http://www.dataott.org/app/). Adapted the [Vancouver license](http://www.ottawa.ca/en/city_hall/statisticsdata/opendata/terms/index.htm).

Short URL: http://ottawa.ca/opendata","45.4111650793,-75.6981182098",45.4111650793,-75.6981182098
Netherlands Public Data Catalogue,http://data.overheid.nl,Bzk/wm/koop (government Ict Office),Overheid.nl is the central access point to all information about / from government organisations of the Netherlands. Data.overheid.nl (launched 2011) is the central register for all government data sets.,"52.5,5.75",52.5,5.75
Lleida Open Data,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,,Lleida Open Data Catalog,"41.6166667,0.6166667",41.6166667,0.6166667
Parisdata,http://opendata.paris.fr/,,"City of Paris Public Data Initiative.

Contact: via <http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?page=contact>.","48.85341,2.3488",48.85341,2.3488
Parisdata,http://opendata.paris.fr,Mairie De Paris,France's capital Paris OpenData store,"48.85341,2.3488",48.85341,2.3488
Pavia Geodata,http://www.comune.pv.it/site/home/dai-settori-e-servizi/servizio-informatico-comunale/s.i.t.-sistema-informativo-territoriale/download-dati-geografici.html,Comune Di Pavia,geodata Pavia city,"45.184464,9.161452",45.184464,9.161452
Kent County Catalog,http://picandmix.org.uk/categories/,Supported By Kent County Council (kcc) In Collaboration With Applied Trends,"Pic and Mix aims to increase public access to Kent-related datasets including those generated by Kent County Council (KCC), UK","51.1666667,0.6666667",51.1666667,0.6666667
Dati.piemonte.it,http://www.dati.piemonte.it,Piemonte Regional Government,"Open data portal for Piemonte region in Italy.

Contact: via <http://www.dati.piemonte.it/contattaci/3.html>.","45,8",45,8
Portal De Datos Abiertos De Jccm,http://opendata.jccm.es/,Junta De Comunidades De Castilla-la Mancha,Open data portal of the Spanish autonomous community Castilla-La Mancha.,"39.5,-3",39.5,-3
Despesa Pública Portugal,http://www.despesapublica.com/,,"Public Expenditure arises from the need to provide an accessible, organized, detailed and flexible enough information on how, where or by whom is spending taxpayers' money. All citizens have the right to access to this information, that can assist in controlling public expenditure, commenting, questioning, promoting and overseeing the spending of public institutions.

The state spends thousands of dollars on new technology platforms that enhance and facilitate the collection of revenue, however, regarding the provision of information on public institutions, their assets and expenditure, there is little information that is dispersed , poorly organized and difficult to access.

Transparency and easy access to information is the first instrument in fighting corruption, so do not understand why there is so much reluctance in most public institutions in providing this information.

It is intended that this project is a platform informative and useful to society. Not wanting to be sensationalist, or party, it is expected that citizens and different stakeholders see it as a support for growth of the country, citizen participation and fair competition in the supply of goods / services to the public sector.

The collection of this information is not always a simple process, and sometimes this is not 100% correct, so it's up to all of us proceed to its validation and require the institutions to provide increasingly, information and more accurate.

At this point is to collect through the site settings Direct base.gov.pt and enterprise data through the site publicações.mj.pt . Advantage has been taken to treat and store the information collected in a structured way, to be able to cross data from different sources. At present we can see, for example, adjustments were made ​​directly to the companies newly established . This functionality can be seen that some results are obtained very curious and dubious.
","39.5,-8",39.5,-8
"Prince George, British Columbia",http://princegeorge.ca/cityservices/online/odc/pages/documents.aspx,City Of Prince George,Adapted the [Vancouver license](http://princegeorge.ca/cityservices/online/odc/Pages/Terms.aspx) (roughly).,"53.916603153,-122.753014555",53.916603153,-122.753014555
Rome Province Data Portal,http://www.opendata.provincia.roma.it/,Province Of Rome,"CKAN based portal for the Province of Rome, Italy","41.8947384617,12.4839019775",41.8947384617,12.4839019775
Dados.gov.pt,http://www.dados.gov.pt/,"Ama, Portuguese Government",The Portuguese national data portal. Launched 24-11-2011 in beta.,"39.5,-8",39.5,-8
Publicdata.eu,http://publicdata.eu/,Open Knowledge Foundation,"PublicData.eu federates metadata from local, regional and national data catalogues from across Europe.

Further details are available here: http://publicdata.eu/about","48.6909603909,9.140625",48.6909603909,9.140625
Québec,http://data.gouv.qc.ca/,Province De Québec,You may [send feedback](http://data.gouv.qc.ca/?node=/nous-joindre) and [request datasets](http://data.gouv.qc.ca/?node=/demande-donnees) via webform. Uses its [own license](http://data.gouv.qc.ca/?node=/licence).,"46.8122791164,-71.2145376205",46.8122791164,-71.2145376205
"Québec, Québec",http://donnees.ville.quebec.qc.ca/,Ville De Québec,You may send feedback via [email](Application.DonneesOuvertes@Ville.quebec.qc.ca) or [webform](http://donnees.ville.quebec.qc.ca/nousjoindre.aspx). Uses its [own license](http://donnees.ville.quebec.qc.ca/licence.aspx).,"46.8122791164,-71.2145376205",46.8122791164,-71.2145376205
Recovery.gov,http://www.recovery.gov/,"All The Data On The Site Comes From Two Sources:    • Federal Agencies Submit Weekly Financial Reports That Can Be Found In The Agency Reported Section Of The Site.   • The Recipient Data Displayed On The Site Is Pulled Directly From The Reports Submitted By The Recipients Themselves At  Federalreporting.gov, Also Managed By The Board.","Recovery.gov is the U.S. government's official website that provides easy access to data related to Recovery Act spending and allows for the reporting of potential fraud, waste, and abuse.","39.76,-98.5",39.76,-98.5
"Red Deer, Alberta",http://data.reddeer.ca/,City Of Red Deer,"You may send feedback to [data@reddeer.ca](mailto:data@reddeer.ca) or [opendata@reddeer.ca](opendata@reddeer.ca). Uses its [own license](http://www.reddeer.ca/City+Government/City+Services+and+Departments/Information+Technology+Services/Open+Data/Terms.htm), similar to that of Saskatoon.","52.266817127,-113.80199658",52.266817127,-113.80199658
Redbridge Datashare,http://data.redbridge.gov.uk/,London Borough Of Redbridge,Official open data site from the London Borough of Redbridge.,"51.5666667,0.0833333",51.5666667,0.0833333
"Regina, Saskatchewan",http://www.regina.ca/residents/open-government/data/,City Of Regina,You may send [feedback](opengov@regina.ca) and [request datasets](http://openregina1.cloudapp.net/Request/Index/).,"50.45008005,-104.61779794",50.45008005,-104.61779794
"Region Of Peel, Ontario",http://opendata.peelregion.ca/,Region Of Peel,You may send feedback and request datasets via [email](mailto:open.data@peelregion.ca) or [webform](http://opendata.peelregion.ca/feedback.aspx). The [license](http://opendata.peelregion.ca/terms-of-use.aspx) is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives.,"43.716667,-80.15",43.716667,-80.15
"Region Of Waterloo, Ontario",http://www.regionofwaterloo.ca/opendata,Region Of Waterloo,You may subscribe to [dataset updates](http://www.regionofwaterloo.ca/en/Open_Data-rss-channel.xml) and send feedback and request datasets via [email](mailto:opendata@regionofwaterloo.ca). The [license](http://www.regionofwaterloo.ca/en/regionalGovernment/OpenDataLicence.asp) is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives.,"43.466795567,-80.516389802",43.466795567,-80.516389802
Rennes Métropole En Accès Libre,http://www.data.rennes-metropole.fr,Rennes Métropole,France's city of Renne's Area OpenData store,"48.111981,-1.674291",48.111981,-1.674291
Research Data Australia,http://researchdata.ands.org.au/,Australian National Data Service,Research Data Australia is a discovery service for Australian research data.,-25135,-25135,
Rhode Island,http://www.ri.gov/data,State Of Rhode Island,RI.gov provides open data sets available to the general public,"41.700101,-71.4161671",41.700101,-71.4161671
La Rochelle,http://www.opendata.larochelle.fr/,City Of La Rochelle,City data portal of La Rochelle. Launched 23 May 2012.,"46.1666667,-1.15",46.1666667,-1.15
Rotterdam Open Data Store,http://www.rotterdamopendata.nl/,Rotterdam Open Data,"Open Data from the city of Rotterdam, Netherlands. A project of the University of Rotterdam, the city of Rotterdam, and local companies. 

Rotterdam Open Data is built using the CKAN data catalogue as a back-end to Liferay CMS. The CKAN catalogue can be accessed directly at http://data.rotterdamopendata.nl/.","51.9225,4.479167",51.9225,4.479167
"Saanich, Bc",http://www.saanich.ca/data/catalogue/index.php,District Of Saanich,You may send feedback via [email](mailto:opendata@saanich.ca). Uses its [own license](http://www.saanich.ca/data/licence.html).,"48.549638795,-123.369314466",48.549638795,-123.369314466
Salford Open Data,http://www.salford.gov.uk/opendata.htm,Salford City Council,City Council's data,"53.487707,-2.29042",53.487707,-2.29042
San Diego Apps Challenge Data,http://sdappschallenge.com/details/data,,A list of datasets made available by the City of San Diego and other partner organisations for the San Diego Apps Challenge in Feb 2012.,"32.7153292,-117.1572551",32.7153292,-117.1572551
City Of Santa Cruz Open Data,http://data.cityofsantacruz.com/,City Of Santa Cruz,"Open Data published by the City of Santa Cruz, California, USA.","36.9741171,-122.0307963",36.9741171,-122.0307963
Opendata71,http://www.opendata71.fr/,Conseil Général De La Saône-et-loire,France's department of Saône-et-Loire's OpenData store,"46.6666667,4.5",46.6666667,4.5
Sardinia Geoportal,http://www.sardegnageoportale.it/index.html,Regione Sardegna,geodata from Sardegna,"40,9",40,9
"Saskatoon, Saskatchewan",http://www.saskatoon.ca/departments/corporate%20services/corporate%20information%20services/opendata/pages/opendata.aspx,City Of Saskatoon,"You may [send feedback](http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/OpenData.aspx) via webform. Uses its [own license](http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/TermsofService.aspx), similar to that of Red Deer.","52.116786331,-106.634521548",52.116786331,-106.634521548
Semantic Interoperability Centre Europe (semic.eu) Catalog,http://www.semic.eu/semic/view/snav/assetrepository.xhtml,,SEMIC.EU is a participatory platform and a service by the European Commission that supports the sharing of assets of interoperability to be used in public administration and eGovernment,"48.6909603909,9.140625",48.6909603909,9.140625
Seoul Open Data,http://data.seoul.go.kr,City Of Seoul,"Official data portal for the city of Seoul, Korea.",",,",,
Singapore Opendata,http://data.gov.sg/,Government Of Singapore,"Catalog for the Singapore OpenData Discovering data, inspiring ideas","1.3666667,103.8",1.3666667,103.8
Slovak Republic National Data Portal,http://data.gov.sk/,Government Of The Slovak Republic,"A CKAN based portal, started in April 2012. At launch with 19 closed data sets.","48.6666667,19.5",48.6666667,19.5
Open Data South Africa,http://data.codingfordemocracy.org/,Open Data & Democracy Initiative (odadi),A community portal for Open Data in South Africa.,"-29,24",-29,24
Spain Government Data Portal,http://datos.gob.es,Government Of Spain,Spanish national government data portal.,"40,-4",40,-4
Statcentral.ie,http://www.statcentral.ie/,Central Statistics Office Ireland,"The StatCentral portal provides standard documentation on recurring official statistics and links to where they can be found. It covers data produced by the Irish Central Statistics Office (CSO), as well as other government departments, agencies and other state bodies.","53,-8",53,-8
Illinois,http://data.illinois.gov/,State Of Illinois,Open Data Portal for the State of Illinois,"40.0003204,-89.2503681",40.0003204,-89.2503681
Nebraska,http://www.nebraska.gov/data/,State Of Nebraska,State of Nebraska Open Data Catalog,"41.5002828,-99.7506736",41.5002828,-99.7506736
